in:Altura [m],in:Apertura [%],in:Materiales,out:Energia [kWh/m2],out:UDI300 [%],out:UDI+ [%],out:DA500 [%],out:DA1000 [%],out:Valor m2/p [COP],img_1
8,0.3,CS,23.7,76.3,23.7,99.7,84,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales4_c.png
10,0.3,CS,23.7,83.5,16.4,98.9,74.5,0.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales4_c.png
3,0.05,T,23.7,86.3,5.2,66.4,20.3,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales5_c.png
4,0.05,T,23.7,84.7,2.1,62.4,17.1,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales5_c.png
5,0.05,T,23.7,79.3,3,56.1,16.9,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales5_c.png
6,0.05,T,23.7,73.2,4.2,50.9,14.9,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales5_c.png
8,0.05,T,23.7,62.9,2.5,38.1,11.1,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales5_c.png
10,0.05,T,23.7,51.5,1.9,29.8,11.2,20.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales5_c.png
3,0.1,T,23.7,88.8,11.1,97.2,69.5,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales5_c.png
4,0.1,T,23.7,92,7.4,94.9,64.9,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales5_c.png
5,0.1,T,23.7,91.3,7.8,92.7,58.2,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales5_c.png
6,0.1,T,23.7,89.8,7.8,88.3,52.2,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales5_c.png
8,0.1,T,23.7,90.7,5.3,80.1,40.5,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales5_c.png
10,0.1,T,23.7,89.1,4,70.2,28.9,10.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales5_c.png
3,0.15,T,23.7,75.7,24.3,100,89.8,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales5_c.png
4,0.15,T,23.7,79.7,20.1,99.4,87.3,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales5_c.png
5,0.15,T,23.7,82.4,17.4,99.2,82.9,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales5_c.png
6,0.15,T,23.7,83.8,15.6,97.8,75.7,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales5_c.png
8,0.15,T,23.7,88.2,11.3,95.8,63.9,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales5_c.png
10,0.15,T,23.7,91.5,7.3,91.8,52.2,6.8,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales5_c.png
3,0.2,T,23.7,60.9,39.1,100,97.1,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales5_c.png
4,0.2,T,23.7,61.2,38.8,100,96.1,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales5_c.png
5,0.2,T,23.7,67.7,32.2,99.9,93.5,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales5_c.png
6,0.2,T,23.7,73.7,26.2,99.7,89.7,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales5_c.png
8,0.2,T,23.7,78.2,21.6,99.3,83.1,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales5_c.png
10,0.2,T,23.7,84.7,15,98.5,73.3,5.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales5_c.png
3,0.25,T,23.7,43,56.8,99.8,99.3,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales5_c.png
4,0.25,T,23.7,45.4,54.6,100,99,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales5_c.png
5,0.25,T,23.7,50.6,49.4,100,98,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales5_c.png
6,0.25,T,23.7,56.6,43.3,99.9,95.7,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales5_c.png
8,0.25,T,23.7,65.9,34.1,100,92.5,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales5_c.png
10,0.25,T,23.7,74,25.7,99.6,86.3,4.1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales5_c.png
3,0.3,T,23.7,29.9,70.1,100,99.9,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales5_c.png
4,0.3,T,23.7,32.4,67.6,100,99.7,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales5_c.png
5,0.3,T,23.7,39,61,100,99.3,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales5_c.png
6,0.3,T,23.7,45,55,100,98.6,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales5_c.png
8,0.3,T,23.7,55.7,44.3,100,96.6,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales5_c.png
10,0.3,T,23.7,65.9,34,99.9,93.3,3.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales5_c.png
