in:Altura [m],in:Apertura [%],in:Materiales,out:Energia [kWh/m2],out:UDI300 [%],out:UDI+ [%],out:DA500 [%],out:DA1000 [%],out:Valor m2/p [COP],img_1
6,0.3,TS,13.7,80.1,19.2,89.6,55.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales1_c.png
8,0.3,TS,13.7,82.4,15.2,83.2,43.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales1_c.png
10,0.3,TS,13.7,85.4,10,73.3,34.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales1_c.png
3,0.05,TC,2.6,80.4,5.2,54.5,15.5,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales2_c.png
4,0.05,TC,2.6,76.6,2,49.7,10.8,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales2_c.png
5,0.05,TC,2.6,70.8,3,45.3,11,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales2_c.png
6,0.05,TC,2.6,64,4.2,40.3,11.3,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales2_c.png
8,0.05,TC,2.6,54.2,2.5,31,8.9,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales2_c.png
10,0.05,TC,2.6,43.4,1.9,25.5,8,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales2_c.png
3,0.1,TC,5.3,90,9.7,92.8,54.7,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales2_c.png
4,0.1,TC,5.3,93.1,5.8,90.7,52.5,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales2_c.png
5,0.1,TC,5.3,91.2,6.9,85.8,46.5,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales2_c.png
6,0.1,TC,5.3,89.2,7.4,82.2,40.9,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales2_c.png
8,0.1,TC,5.3,88.9,5.3,71.9,32.6,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales2_c.png
10,0.1,TC,5.3,84.5,3.7,58.6,23.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales2_c.png
3,0.15,TC,7.9,82.8,17.1,99.1,82.2,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales2_c.png
4,0.15,TC,7.9,85.9,13.9,98.6,78.8,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales2_c.png
5,0.15,TC,7.9,86.3,13.6,97.7,72.9,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales2_c.png
6,0.15,TC,7.9,86.7,12.9,95.3,65.8,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales2_c.png
8,0.15,TC,7.9,90.4,8.9,91.4,54.4,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales2_c.png
10,0.15,TC,7.9,93.2,5.1,85.5,43.5,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales2_c.png
3,0.2,TC,10.5,69.5,30.5,100,93.1,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales2_c.png
4,0.2,TC,10.5,72.9,27.1,99.9,91.4,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales2_c.png
5,0.2,TC,10.5,76,23.9,99.7,87.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales2_c.png
6,0.2,TC,10.5,78.6,21.1,99.3,83.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales2_c.png
8,0.2,TC,10.5,83.3,16.5,98,73.4,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales2_c.png
10,0.2,TC,10.5,88.5,10.9,95.2,60.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales2_c.png
3,0.25,TC,13.1,56.8,43.2,100,97.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales2_c.png
4,0.25,TC,13.1,58.1,41.9,100,96.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales2_c.png
5,0.25,TC,13.1,63.6,36.3,99.9,94.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales2_c.png
6,0.25,TC,13.1,67.5,32.4,99.8,91.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales2_c.png
8,0.25,TC,13.1,76.6,23.2,99.6,85,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales2_c.png
10,0.25,TC,13.1,81,18.6,98.7,75.7,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales2_c.png
3,0.3,TC,15.8,42.5,57.5,100,99.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales2_c.png
4,0.3,TC,15.8,43.8,56.2,100,99,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales2_c.png
5,0.3,TC,15.8,49.4,50.6,100,97.6,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales2_c.png
6,0.3,TC,15.8,55.1,44.8,99.9,96.2,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales2_c.png
8,0.3,TC,15.8,66.3,33.6,99.8,92.1,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales2_c.png
10,0.3,TC,15.8,75.4,24.5,99.7,86.3,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales2_c.png
3,0.05,S,3.5,77.1,5.2,47.9,12.9,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales3_c.png
4,0.05,S,3.5,75.1,2,46.9,10.8,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales3_c.png
5,0.05,S,3.5,66.9,3,38.9,9,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales3_c.png
6,0.05,S,3.5,56.6,4.1,31.4,9.5,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales3_c.png
8,0.05,S,3.5,48.1,2.5,25.7,6.4,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales3_c.png
10,0.05,S,3.5,38.5,1.8,19.8,4.9,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales3_c.png
3,0.1,S,7,90.2,9.2,91.3,50.2,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales3_c.png
4,0.1,S,7,93,5.4,87.6,46.7,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales3_c.png
5,0.1,S,7,90.3,6.8,82.9,42.4,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales3_c.png
6,0.1,S,7,88,7.3,77.6,36.5,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales3_c.png
8,0.1,S,7,86.5,5.2,65.6,29.6,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales3_c.png
10,0.1,S,7,82.1,3.8,54.9,20,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales3_c.png
3,0.15,S,10.6,83.5,16.5,98.6,78.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales3_c.png
4,0.15,S,10.6,86.5,13.3,97.9,75.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales3_c.png
5,0.15,S,10.6,87.7,12.1,96.5,68.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales3_c.png
6,0.15,S,10.6,88,11.7,93.8,62,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales3_c.png
8,0.15,S,10.6,89.9,8.7,88.6,48.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales3_c.png
10,0.15,S,10.6,92.4,5.2,81.3,40.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales3_c.png
3,0.2,S,14.1,72.5,27.5,100,91.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales3_c.png
4,0.2,S,14.1,75.1,24.9,99.8,89.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales3_c.png
5,0.2,S,14.1,78.9,21,99.5,85.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales3_c.png
6,0.2,S,14.1,81.6,18.3,98.7,79.4,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales3_c.png
8,0.2,S,14.1,86.4,13.4,96.7,67.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales3_c.png
10,0.2,S,14.1,91,8.5,94,58.1,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales3_c.png
3,0.25,S,17.6,61,39,100,96.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales3_c.png
4,0.25,S,17.6,62.3,37.7,100,95.2,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales3_c.png
5,0.25,S,17.6,67.3,32.7,100,92,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales3_c.png
6,0.25,S,17.6,71.8,28,99.7,89.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales3_c.png
8,0.25,S,17.6,79.8,20.1,99.3,81.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales3_c.png
10,0.25,S,17.6,85.6,14.3,98.3,72.1,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales3_c.png
3,0.3,S,21.1,48.1,51.9,100,98.8,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales3_c.png
4,0.3,S,21.1,48,51.9,100,98.2,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales3_c.png
5,0.3,S,21.1,54.1,45.9,100,96.7,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales3_c.png
6,0.3,S,21.1,60.3,39.7,100,94.7,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales3_c.png
8,0.3,S,21.1,71.1,28.9,100,89.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales3_c.png
10,0.3,S,21.1,77.4,22.6,99.7,83.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales3_c.png
3,0.05,CS,4,68.2,5.2,36.8,9,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales4_c.png
4,0.05,CS,4,67,1.9,33.3,5.4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales4_c.png
5,0.05,CS,4,59,2.9,32.7,6.8,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales4_c.png
6,0.05,CS,4,50.9,4.1,27.5,7.8,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales4_c.png
8,0.05,CS,4,38.3,2.5,18.8,4,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales4_c.png
10,0.05,CS,4,33.8,1.8,19.2,4.7,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales4_c.png
3,0.1,CS,7.9,89.3,8.9,83.9,37.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales4_c.png
4,0.1,CS,7.9,90.9,5.3,81.2,35.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales4_c.png
5,0.1,CS,7.9,88.7,6.8,75.8,30.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales4_c.png
6,0.1,CS,7.9,84.8,7.3,68.5,27.8,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales4_c.png
8,0.1,CS,7.9,81.5,5.2,56.8,21.6,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales4_c.png
10,0.1,CS,7.9,74.6,3.7,46.3,17,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales4_c.png
