in:Altura [m],in:Apertura [%],in:Materiales,out:Energía [kWh/m2],out:ASE250 [%Area],out:UDI300 [%],out:UDI+ [%],out:DA300 [%],out:DA500 [%],out:DA750 [%],out:DA1000 [%],out:DA1250 [%],out:Valor m2/p [COP],img_1
8,0.25,TS,11.4,53.9,81.8,12.9,94.7,72,49.5,33.9,23.3,0.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales1_c.png
10,0.25,TS,11.4,36.7,81.5,8.3,89.8,61.4,39.2,24.2,15.9,0.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales1_c.png
3,0.3,TS,13.7,93,77.2,22.8,100,96.7,83.4,67.5,51.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales1_c.png
4,0.3,TS,13.7,86.5,78.8,21.1,99.9,95.1,80.9,65.9,52.1,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales1_c.png
5,0.3,TS,13.7,80.4,79.6,20.1,99.7,92.8,76.1,61,47,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales1_c.png
6,0.3,TS,13.7,77.5,80.1,19.2,99.3,89.6,69.2,55.6,41.4,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales1_c.png
8,0.3,TS,13.7,63.6,82.4,15.2,97.6,83.2,59.5,43.6,30.5,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales1_c.png
10,0.3,TS,13.7,44.3,85.4,10,95.4,73.3,50.1,34.6,24,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales1_c.png
3,0.05,TC,2.6,24.1,80.4,5.2,85.6,54.5,27.1,15.5,10.1,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales2_c.png
4,0.05,TC,2.6,7.4,76.6,2,78.6,49.7,22.6,10.8,5.8,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales2_c.png
5,0.05,TC,2.6,10.3,70.8,3,73.8,45.3,21.3,11,6.6,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales2_c.png
6,0.05,TC,2.6,16.7,64,4.2,68.2,40.3,20.7,11.3,6.6,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales2_c.png
8,0.05,TC,2.6,11.3,54.2,2.5,56.7,31,15.6,8.9,5.1,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales2_c.png
10,0.05,TC,2.6,9.9,43.4,1.9,45.3,25.5,14.4,8,4.5,1.4,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales2_c.png
3,0.1,TC,5.3,36.8,90,9.7,99.7,92.8,75.2,54.7,37.9,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales2_c.png
4,0.1,TC,5.3,20.6,93.1,5.8,98.9,90.7,71.7,52.5,35.2,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales2_c.png
5,0.1,TC,5.3,25.7,91.2,6.9,98.2,85.8,63.4,46.5,29.8,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales2_c.png
6,0.1,TC,5.3,29.8,89.2,7.4,96.6,82.2,59.1,40.9,26.8,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales2_c.png
8,0.1,TC,5.3,22,88.9,5.3,94.1,71.9,47.9,32.6,21.2,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales2_c.png
10,0.1,TC,5.3,16.7,84.5,3.7,88.3,58.6,36.8,23.4,14.6,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales2_c.png
3,0.15,TC,7.9,48.5,82.8,17.1,99.9,99.1,93.3,82.2,68.6,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales2_c.png
4,0.15,TC,7.9,38.6,85.9,13.9,99.8,98.6,91.1,78.8,66.6,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales2_c.png
5,0.15,TC,7.9,39.7,86.3,13.6,99.9,97.7,87.6,72.9,61.5,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales2_c.png
6,0.15,TC,7.9,42.5,86.7,12.9,99.6,95.3,81.7,65.8,53.3,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales2_c.png
8,0.15,TC,7.9,34.2,90.4,8.9,99.3,91.4,71.7,54.4,42,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales2_c.png
10,0.15,TC,7.9,23,93.2,5.1,98.3,85.5,59.8,43.5,32.9,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales2_c.png
3,0.2,TC,10.5,55.8,69.5,30.5,100,100,98.3,93.1,84.8,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.2_materiales2_c.png
4,0.2,TC,10.5,62.9,72.9,27.1,100,99.9,97.5,91.4,81.7,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.2_materiales2_c.png
5,0.2,TC,10.5,53.1,76,23.9,99.9,99.7,95.6,87.3,77,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.2_materiales2_c.png
6,0.2,TC,10.5,51,78.6,21.1,99.8,99.3,93.4,83.3,71.1,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.2_materiales2_c.png
8,0.2,TC,10.5,42.6,83.3,16.5,99.8,98,87.7,73.4,59.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.2_materiales2_c.png
10,0.2,TC,10.5,30,88.5,10.9,99.4,95.2,79.5,60.2,47.7,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.2_materiales2_c.png
3,0.25,TC,13.1,74.1,56.8,43.2,100,100,99.8,97.9,93.8,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.25_materiales2_c.png
4,0.25,TC,13.1,76.1,58.1,41.9,100,100,99.6,96.3,91.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.25_materiales2_c.png
5,0.25,TC,13.1,65.2,63.6,36.3,100,99.9,98.7,94.2,87.1,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.25_materiales2_c.png
6,0.25,TC,13.1,64.5,67.5,32.4,99.9,99.8,97.8,91.3,83,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.25_materiales2_c.png
8,0.25,TC,13.1,54.2,76.6,23.2,99.9,99.6,94.6,85,72.7,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.25_materiales2_c.png
10,0.25,TC,13.1,36.8,81,18.6,99.6,98.7,89.8,75.7,61.4,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.25_materiales2_c.png
3,0.3,TC,15.8,99.6,42.5,57.5,100,100,100,99.4,97.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.3_materiales2_c.png
4,0.3,TC,15.8,89.4,43.8,56.2,100,100,100,99,95.8,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.3_materiales2_c.png
5,0.3,TC,15.8,82.3,49.4,50.6,100,100,99.8,97.6,93.4,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.3_materiales2_c.png
6,0.3,TC,15.8,78.8,55.1,44.8,100,99.9,99.4,96.2,90.5,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.3_materiales2_c.png
8,0.3,TC,15.8,63.8,66.3,33.6,99.9,99.8,98.2,92.1,83,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.3_materiales2_c.png
10,0.3,TC,15.8,44.5,75.4,24.5,99.9,99.7,95.7,86.3,72.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.3_materiales2_c.png
3,0.05,S,3.5,24,77.1,5.2,82.3,47.9,23.3,12.9,8.8,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.05_materiales3_c.png
4,0.05,S,3.5,7.4,75.1,2,77.1,46.9,20.4,10.8,5.7,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.05_materiales3_c.png
5,0.05,S,3.5,10.3,66.9,3,70,38.9,17.3,9,5.4,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.05_materiales3_c.png
6,0.05,S,3.5,16.7,56.6,4.1,60.7,31.4,15.5,9.5,6.6,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.05_materiales3_c.png
8,0.05,S,3.5,11.3,48.1,2.5,50.6,25.7,12.3,6.4,4.6,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.05_materiales3_c.png
10,0.05,S,3.5,9.9,38.5,1.8,40.4,19.8,9.4,4.9,3,1,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales3_c.png
3,0.1,S,7,36.7,90.2,9.2,99.4,91.3,71.3,50.2,34.6,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales3_c.png
4,0.1,S,7,20.6,93,5.4,98.4,87.6,67.7,46.7,28.9,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales3_c.png
5,0.1,S,7,25.7,90.3,6.8,97.1,82.9,61.2,42.4,25.2,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales3_c.png
6,0.1,S,7,29.8,88,7.3,95.3,77.6,54.1,36.5,23.3,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales3_c.png
8,0.1,S,7,22,86.5,5.2,91.7,65.6,44,29.6,18.4,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales3_c.png
10,0.1,S,7,16.7,82.1,3.8,85.9,54.9,32.6,20,11.2,0.5,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales3_c.png
3,0.15,S,10.6,48.4,83.5,16.5,100,98.6,91.3,78.2,64.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales3_c.png
4,0.15,S,10.6,38.6,86.5,13.3,99.8,97.9,88.3,75.6,61.2,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales3_c.png
